Date;Kilde;Forfatter;NNPF_assosiert
torsdag 1. juni 2017; https://www.aftenposten.no/norge/i/84gpA/skal-ha-tjent-nesten-tre-millioner-paa-dop ; author: Jonas Alsaker Vikan ; NNPF: Richard Beck Pedersen
onsdag 19. april 2017; https://www.aftenposten.no/norge/i/5XEm6/15-aaring-funnet-doed-paa-gutterommet-i-oslo-hadde-tatt-syntetisk-dop ; author: NTB ; NNPF: Stein Olav Bredli
onsdag 19. april 2017; https://www.aftenposten.no/norge/i/JmOom/nrk-rumensk-tiggernettverk-haaver-inn-millioner-i-bergen ; author: Christian Nicolaisen ; NNPF: Linda Ervik
fredag 7. april 2017; https://www.aftenposten.no/norge/i/4a5Gq/stor-vaapensamling-fra-krigen-funnet-i-laavevegg-i-nordhordland ; author: Marianne Nilsen ; NNPF: Kurt Inge Hordvik
torsdag 6. april 2017; https://www.aftenposten.no/norge/i/yoQxg/mann-siktet-for-overgrep-mot-flere-barn ; author: Per Lindberg ; NNPF: Kristine Knutsen-Berge
tirsdag 7. mars 2017; https://www.aftenposten.no/norge/i/Bawq0/hasjtrailere-med-ikea-last ; author: Per Annar Holm ; NNPF: Dag Eirik Ekeli
tirsdag 7. mars 2017; https://www.aftenposten.no/norge/i/Bawq0/hasjtrailere-med-ikea-last ; author: Per Annar Holm ; NNPF: Ketil Thue
tirsdag 7. mars 2017; https://www.aftenposten.no/norge/i/Bawq0/hasjtrailere-med-ikea-last ; author: Per Annar Holm ; NNPF: Peter Mehnert
torsdag 2. mars 2017; https://www.aftenposten.no/norge/i/QvPM8/kriminalsjefen-om-eirik-jensen-daeven-han-er-skyldig ; author: Håkon Letvik ; NNPF: Ketil Thue
tirsdag 28. februar 2017; https://www.aftenposten.no/norge/i/Jdn87/hasjregnskapet-felte-cappelens-nettverk ; author: Håkon Letvik ; NNPF: Dag Eirik Ekeli
onsdag 15. februar 2017; https://www.aftenposten.no/norge/i/raLBK/samboerpar-siktet-for-drap-paa-familiemedlem-i-aamli ; author: Eirin Margrethe Fidje ; NNPF: Vanja Bruvoll
